[-40 -50 -18],[45 -50 -22],[-38 -84 -10],[44 -78 -12],[-26 0 -30],[34 -8 -32],[-20 -6 -18],[22 -6 -18],[-56 -54 8],[54 -44 8],[42 14 22]
0.085206,-0.00902,-0.11876,0.125,0.007057,-0.0431,0.041775,0.088143,0.022779,0.01103,0.014066
-0.11838,-0.12118,-0.18077,-0.095604,-0.014958,0.017179,-0.10421,-0.044643,-0.031395,-0.035692,-0.050022
-0.26147,-0.15848,-0.097606,-0.35383,-0.040447,-0.085371,-0.10433,-0.069757,0.031654,-0.047583,0.038843
0.055065,-0.10657,-0.070589,0.0094706,0.017715,0.075481,-0.039328,-0.090905,0.0087983,0.051003,0.0014608
0.016702,-0.035861,-0.10973,-0.07122,-0.024078,-0.070465,0.0075917,-0.037646,-0.03382,-0.019492,0.033786
0.0072798,-0.027297,-0.020142,-0.028152,-0.0050925,-0.025158,0.025814,-0.010031,0.021772,0.049879,-0.0096592
0.098768,0.0504,-0.002147,-0.074762,0.029066,-0.022748,0.022122,0.00040785,0.019718,-0.088037,0.0039611
-0.15145,-0.21788,-0.094127,-0.34074,0.046615,-0.021653,-0.024477,-0.041783,-0.062769,-0.051044,0.0087824
0.057093,0.03459,0.062304,0.088475,0.050385,0.067744,-0.067149,-0.045012,0.03611,0.058795,0.017345
-0.08133,-0.074177,-0.035234,-0.15885,-0.095901,-0.0085368,-0.067955,-0.022421,-0.033452,-0.00057863,0.019809
-0.0069194,0.0752,-0.033852,-0.14641,0.1063,0.057775,0.16246,0.14199,0.031631,0.017613,-0.018854
-0.0092674,-0.012093,0.019891,0.017544,0.098465,0.027949,0.095179,0.10279,0.10473,0.079912,0.082343
-0.015093,-0.11567,0.0019835,-0.11303,0.035192,-0.0066004,-0.031739,-0.053927,0.010766,-0.010703,0.073317
-0.028436,-0.063631,0.0044089,-0.31674,-0.035109,-0.07501,-0.13328,-0.10856,0.008442,-0.04569,-0.055811
-0.079663,-0.090122,-0.21013,-0.30418,-0.070893,-0.012303,-0.017321,-0.041128,-0.03885,-0.0091233,-0.0046591
-0.02523,-0.070158,-0.10774,-0.11507,-0.031192,-0.050143,-0.025413,-0.045238,-0.044296,-0.048621,-0.027876
