[-22 -80 -12],[-26 -84 16],[26 -92 26],[26 -56 -10]
11.797,9.1128,5.3904,8.8503
1.6637,-0.85281,0.016481,1.0885
0.44468,3.0953,4.3073,4.8006
-1.2382,0.076183,-0.93246,2.1815
5.3846,6.4281,5.3729,3.5605
5.7925,1.1775,4.1738,3.1246
6.0365,8.8244,4.9266,4.9598
0.015359,1.5871,-0.0080533,0.83605
10.333,7.3315,7.4729,4.9451
-0.94884,-2.4618,1.119,-2.0985
1.8251,3.5303,0.58073,1.8307
6.5361,6.9972,11.783,8.5929
3.1899,2.7362,4.8241,1.5688
5.7328,3.8871,5.5099,4.1267
1.5396,-0.23473,0.17906,-1.9707
5.9646,5.9204,7.7456,7.025
